;;;;;;;;;;;;;;;;;PROMEDIO
26/06/2017 19:38;345;26/06/2017 19:38;375;26/06/2017 19:38;370;26/06/2017 19:38;377;;26/06/2017 19:38;0,169750615;26/06/2017 19:38;0,156826466;26/06/2017 19:38;0,158907034;26/06/2017 19:38;0,156001996;0,160859692
26/06/2017 19:38;345;26/06/2017 19:38;375;26/06/2017 19:38;369;26/06/2017 19:38;375;;26/06/2017 19:38;0,169750615;26/06/2017 19:38;0,156826466;26/06/2017 19:38;0,15932652;26/06/2017 19:38;0,156826466;0,161134516
26/06/2017 19:38;343;26/06/2017 19:38;375;26/06/2017 19:38;370;26/06/2017 19:38;376;;26/06/2017 19:38;0,170651781;26/06/2017 19:38;0,156826466;26/06/2017 19:38;0,158907034;26/06/2017 19:38;0,156413683;0,16129731
26/06/2017 19:38;346;26/06/2017 19:38;375;26/06/2017 19:38;367;26/06/2017 19:38;377;;26/06/2017 19:38;0,16930199;26/06/2017 19:38;0,156826466;26/06/2017 19:38;0,160168914;26/06/2017 19:38;0,156001996;0,160710151
26/06/2017 19:38;343;26/06/2017 19:38;375;26/06/2017 19:38;366;26/06/2017 19:38;376;;26/06/2017 19:38;0,170651781;26/06/2017 19:38;0,156826466;26/06/2017 19:38;0,160591833;26/06/2017 19:38;0,156413683;0,16129731
26/06/2017 19:38;343;26/06/2017 19:38;376;26/06/2017 19:38;367;26/06/2017 19:38;376;;26/06/2017 19:38;0,170651781;26/06/2017 19:38;0,156413683;26/06/2017 19:38;0,160168914;26/06/2017 19:38;0,156413683;0,161159715
26/06/2017 19:38;344;26/06/2017 19:38;375;26/06/2017 19:38;366;26/06/2017 19:39;377;;26/06/2017 19:38;0,170200543;26/06/2017 19:38;0,156826466;26/06/2017 19:38;0,160591833;26/06/2017 19:39;0,156001996;0,161009668
26/06/2017 19:38;345;26/06/2017 19:38;373;26/06/2017 19:38;366;26/06/2017 19:39;377;;26/06/2017 19:38;0,169750615;26/06/2017 19:38;0,157655345;26/06/2017 19:38;0,160591833;26/06/2017 19:39;0,156001996;0,161135985
26/06/2017 19:38;343;26/06/2017 19:38;374;26/06/2017 19:38;365;26/06/2017 19:39;377;;26/06/2017 19:38;0,170651781;26/06/2017 19:38;0,157240351;26/06/2017 19:38;0,16101591;26/06/2017 19:39;0,156001996;0,161298043
26/06/2017 19:38;342;26/06/2017 19:38;376;26/06/2017 19:39;366;26/06/2017 19:39;377;;26/06/2017 19:38;0,171104336;26/06/2017 19:38;0,156413683;26/06/2017 19:39;0,160591833;26/06/2017 19:39;0,156001996;0,161173338
26/06/2017 19:39;344;26/06/2017 19:38;375;26/06/2017 19:39;366;26/06/2017 19:39;379;;26/06/2017 19:39;0,170200543;26/06/2017 19:38;0,156826466;26/06/2017 19:39;0,160591833;26/06/2017 19:39;0,155181888;0,160736299
26/06/2017 19:39;345;26/06/2017 19:38;374;26/06/2017 19:39;367;26/06/2017 19:39;377;;26/06/2017 19:39;0,169750615;26/06/2017 19:38;0,157240351;26/06/2017 19:39;0,160168914;26/06/2017 19:39;0,156001996;0,160997654
26/06/2017 19:39;343;26/06/2017 19:39;375;26/06/2017 19:39;365;26/06/2017 19:39;378;;26/06/2017 19:39;0,170651781;26/06/2017 19:39;0,156826466;26/06/2017 19:39;0,16101591;26/06/2017 19:39;0,1555914;0,161023215
26/06/2017 19:39;344;26/06/2017 19:39;375;26/06/2017 19:39;367;26/06/2017 19:39;376;;26/06/2017 19:39;0,170200543;26/06/2017 19:39;0,156826466;26/06/2017 19:39;0,160168914;26/06/2017 19:39;0,156413683;0,161146897
26/06/2017 19:39;344;26/06/2017 19:39;375;26/06/2017 19:39;366;26/06/2017 19:39;378;;26/06/2017 19:39;0,170200543;26/06/2017 19:39;0,156826466;26/06/2017 19:39;0,160591833;26/06/2017 19:39;0,1555914;0,160872803
26/06/2017 19:39;345;26/06/2017 19:39;374;26/06/2017 19:39;365;26/06/2017 19:39;378;;26/06/2017 19:39;0,169750615;26/06/2017 19:39;0,157240351;26/06/2017 19:39;0,16101591;26/06/2017 19:39;0,1555914;0,160860789
26/06/2017 19:39;344;26/06/2017 19:39;376;26/06/2017 19:39;365;26/06/2017 19:39;377;;26/06/2017 19:39;0,170200543;26/06/2017 19:39;0,156413683;26/06/2017 19:39;0,16101591;26/06/2017 19:39;0,156001996;0,160872074
26/06/2017 19:39;343;26/06/2017 19:39;375;26/06/2017 19:39;366;26/06/2017 19:39;377;;26/06/2017 19:39;0,170651781;26/06/2017 19:39;0,156826466;26/06/2017 19:39;0,160591833;26/06/2017 19:39;0,156001996;0,161160081
